"","","","","","100"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60"," Champion Scrolls ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","2"," goblin scroll ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","x","x","","","","","","","","","","","","","","",""
"","","","","","3"," imp scroll ","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","4"," hobgoblin scroll ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","6"," skeleton scroll ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","","","","","x","","","","",""
"","","","","","7"," zombie scroll ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","",""
"","","","","","8"," jogre scroll ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","10"," giant scroll ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","10"," ghoul scroll ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","14"," earth warrior scroll ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","16"," lesser demon scroll ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","80"," Slayer non-Boss ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"11840","","","","234,151","1"," dragon boots ","","x","x","x","x","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"11037","","","","239,402","2"," brine sabre ","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"29084","","","","72,637","2"," sulphur blades ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","x","x","x","x","x",""
"28583","","","","90,338","2"," warped sceptre ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","","","","","","","x","","","","","","","","","","","","x","","","","",""
"8921","","","","1,653,627","2"," black mask ","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","","",""
"4151","","","","1,007,525","4"," abyssal whip ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","x","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","",""
"11235","","","","916,163","6"," dark bow ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","","","","","","","","","x","","","","",""
"20727","","","","60,787","6"," leaf-bladed battleaxe ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"24777","","","","7,391,366","10"," blood shard (pvm) ","","x","x","x","","","","x","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","x","x","x","","","x","x","","","","","x","x","x","","","","","","","","",""
"22957","","","","240,967","10"," drake's claw ","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"22960","","","","59,323","10"," drake's tooth ","","x","x","x","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"29806","","","","1,719,416","15"," aranea boots ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"24268","","","","15,740,287","20"," basilisk jaw ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","",""
"21637","","","","30,250,965","100"," wyvern visage ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","",""
"","","","","","80"," Miscellaneous I ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28813","","","","1,144,203","2"," broken zombie axe ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","x","x","x","","","x","x","","","","","","","","","","","x","","","","",""
"","","","","","10"," scorpia pet ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21918","","","","642,767","18"," dragon limbs ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","","","","","","","","","","","",""
"13576","","","","14,621,644","25"," dragon warhammer ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20736","","","","11,621","50"," dust battlestaff (superior) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"22103","","","","134,636","50"," dragon lump ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20724","","","","94,240,652","100"," imbued heart ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"","","","","","80"," Miscellaneous II ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","1"," long bone ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x",""
"6809","","","","40,966","10"," granite legs ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","12"," curved bone ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","","","","","","x","","","","",""
"23959","","","","3,497,244","12"," enhanced crystal tele seed (pvm) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"20730","","","","71,043","50"," mist battlestaff (superior) ","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","x","x","x","x","","","","","","","","","","","","",""
"22100","","","","74,115,256","50"," dragon metal slice ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21270","","","","8,185,606","100"," eternal gem ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","100"," Bounty challenge #1 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","",""," dragon spear ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","",""," shield left half ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","100"," Bounty challenge #2 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," mole pet #1 ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," mole pet #2 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," mole pet #3 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","100"," Bounty challenge #3 ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," zalcano unique #1 ","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," zalcano unique #2 ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," zalcano unique #3 ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","100"," Bounty challenge #4 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","",""," ancient ceremonial piece #1 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","",""," ancient ceremonial piece #2 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","",""," ancient ceremonial piece #3 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","",""," ancient ceremonial piece #4 ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","","","x","","","","",""
"","","","","","100"," Bounty challenge #5 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," Bran Pet #1 ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," Bran Pet #2 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," Bran Pet #3 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," Bran Pet #4 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4245","1722","701","253","69","","3421","1198","403","140","39","","0","0","0","0","0","","1879","433","173","42","14","","2817","670","234","86","27","","0","0","0","0","0","","6250","2829","1375","650","188","","2523","534","202","69","25","","5467","2782","1148","492","174","","3386","1149","498","182","61","","1329","332","92","38","12",""
